"c_custkey","c_name","c_address","c_nationkey","c_phone","c_acctbal","c_mktsegment","c_comment"
17,"Customer#000000017","Js JrVHNAyCYMANzPGzvonS8kX8s3 yeLi3u9T",2,"12-970-682-3487",6.34,"AUTOMOBILE","packages wake! blithely even pint"
18,"Customer#000000018","YyukcsqIxlyuXs702Rd2Rl9D1z",6,"16-155-215-1315",5494.43,"BUILDING","s sleep. carefully even instructions nag furiously alongside of t"
19,"Customer#000000019","yO0XPkiuSWk0vN FfcH5 IA3oBYy ",18,"28-396-526-5053",8914.71,"HOUSEHOLD"," nag. furiously careful packages are slyly at the accounts. furiously regular in"
20,"Customer#000000020","i bGScABFHXdM",22,"32-957-234-8742",7603.40,"FURNITURE","g alongside of the special excuses-- fluffily enticing packages wake "
21,"Customer#000000021","42E5BARtqjomD",8,"18-902-614-8344",1428.25,"MACHINERY"," quickly final accounts integrate blithely furiously u"
22,"Customer#000000022","biUBW,0ldzWGT91Doo5b77G6N3Bp",3,"13-806-545-9701",591.98,"MACHINERY","s nod furiously above the furiously ironic ideas. "
23,"Customer#000000023","dN2r4,XdTpNXcoVfBKLEP2zz,5DU7g8",3,"13-312-472-8245",3332.02,"HOUSEHOLD","deposits. special deposits cajole slyly. fluffily special deposits about the furiously "
24,"Customer#000000024","k3qlKjqtHuzNAvIFyZX2Yc1crXuMfMU6SbAl",13,"23-127-851-8031",9255.67,"MACHINERY","into beans. fluffily final ideas haggle fluffily"
25,"Customer#000000025","kBSktmaKkjm28IFkVypLN",12,"22-603-468-3533",7133.70,"FURNITURE","y. accounts sleep ruthlessly according to the regular theodolites. unusual instructions sleep. ironic, final"
26,"Customer#000000026","TFH OW1MeFU6OIb",22,"32-363-455-4837",5182.05,"AUTOMOBILE","c requests use furiously ironic requests. slyly ironic dependencies us"
27,"Customer#000000027","j8SkiuuBp gBe7,yT",3,"13-137-193-2709",5679.84,"BUILDING"," about the carefully ironic pinto beans. accoun"
28,"Customer#000000028","J5tK,OQa07KQSuY5b4qRFYVYRF",8,"18-774-241-1462",1007.18,"FURNITURE"," along the regular deposits. furiously final pac"
29,"Customer#000000029"," hVQNzLtqGpgUXNMY0wlZVstaf52mXXxJ",0,"10-773-203-7342",7618.27,"FURNITURE","its after the carefully final platelets x-ray against "
30,"Customer#000000030","EhnzmgkqQw7UXhF0PVdg gLfSAihaaHaD2fZah2",1,"11-764-165-5076",9321.01,"BUILDING","lithely final requests. furiously unusual account"
31,"Customer#000000031","g6qoPd,wIQrwUM3dqMP unpruI5zy",23,"33-197-837-7094",5236.89,"HOUSEHOLD","s use among the blithely pending depo"
32,"Customer#000000032","InYu1tIr6EjN0nozdpf3hHRA,8FBYIbU1OcYh",15,"25-430-914-2194",3471.53,"BUILDING","cial ideas. final, furious requests across the e"
33,"Customer#000000033","Bl8FeyfxOpFuRuDEVIPYPz46vNKrn",17,"27-375-391-1280",-78.56,"AUTOMOBILE","s. slyly regular accounts are furiously. carefully pending requests"
34,"Customer#000000034","bUkRv2UNDOtEycuW,RuKn0eYg6",15,"25-344-968-5422",8589.70,"HOUSEHOLD","nder against the even, pending accounts. even"
35,"Customer#000000035","8mH4knWDpsifY",17,"27-566-888-7431",1228.24,"HOUSEHOLD","requests. special, express requests nag slyly furiousl"
36,"Customer#000000036","Y7wosIxbsBi,0nNiSG4V7",21,"31-704-669-5769",4987.27,"BUILDING","haggle. enticing, quiet platelets grow quickly bold sheaves. carefully regular acc"
37,"Customer#000000037","Um5WbwJ0X8QCOy75y",8,"18-385-235-7162",-917.75,"FURNITURE","ilent packages are carefully among the deposits. furiousl"
38,"Customer#000000038","RVmMVNRVUSaS9fbsYQBT",12,"22-306-880-7212",6345.11,"HOUSEHOLD","lar excuses. closely even asymptotes cajole blithely excuses. carefully silent pinto beans sleep carefully fin"
39,"Customer#000000039","EDP9K1bwtXYNLGCA2mrlOM1U,",2,"12-387-467-6509",6264.31,"AUTOMOBILE","tions. slyly silent excuses slee"
40,"Customer#000000040","LcDk4rtJ85,CLw",3,"13-652-915-8939",1335.30,"BUILDING","rges impress after the slyly ironic courts. foxes are. blithely "
41,"Customer#000000041","jeREsFtCuMqEwdvTFqTkY2NzGRYDG1m",10,"20-917-711-4011",270.95,"HOUSEHOLD","ly regular accounts hang bold, silent packages. unusual foxes haggle slyly above the special, final depo"
42,"Customer#000000042","tI8 wutpGM",5,"15-416-330-4175",8727.01,"BUILDING","ssly according to the pinto beans: carefully special requests across the even, pending accounts wake special"
43,"Customer#000000043","Dx8PHkGSFJWLg3XtkzCX28iHRrQXbCRlN",19,"29-316-665-2897",9904.28,"MACHINERY","ial requests: carefully pending foxes detect quickly. carefully final courts cajole quickly. carefully"
44,"Customer#000000044","dI0Nc9bvnxXHCWu10bSVn,NEJ2kwdyqvI",16,"26-190-260-5375",7315.94,"AUTOMOBILE","r requests around the unusual, bold a"
45,"Customer#000000045","XwXcOClKCcFek0oQDl0WFNo",9,"19-715-298-9917",9983.38,"AUTOMOBILE","nto beans haggle slyly alongside of t"
46,"Customer#000000046","NQ7345EZ,fS",6,"16-357-681-2007",5744.59,"AUTOMOBILE","ctions. accounts sleep furiously even requests. regular, regular accounts cajole blithely around the final pa"
47,"Customer#000000047","Q,6KCP8Am4WrKN5QJd7",2,"12-427-271-9466",274.58,"BUILDING","ions. express, ironic instructions sleep furiously ironic ideas. furi"
48,"Customer#000000048","076rIcJpxBmwMEdq",0,"10-508-348-5882",3792.50,"BUILDING","re fluffily pending foxes. pending, bold platelets sleep slyly. even platelets cajo"
49,"Customer#000000049","PdKqM4TlA OLTjaeRmvH7QWDu80USfslgqutF",10,"20-908-631-4424",4573.94,"FURNITURE","nusual foxes! fluffily pending packages maintain to the regular "
50,"Customer#000000050","S8sn2GGsuputhZaN7irC",6,"16-658-112-3221",4266.13,"MACHINERY","ts. furiously ironic accounts cajole furiously slyly ironic dinos."
51,"Customer#000000051","y90vmRI7wCX",12,"22-344-885-4251",855.87,"FURNITURE","eposits. furiously regular requests integrate carefully packages. furious"
52,"Customer#000000052","UracAlAA8tSHL5V,poTZIOjh8o,",11,"21-186-284-5998",5630.28,"HOUSEHOLD","ic platelets use evenly even accounts. stealthy theodolites cajole furiou"
53,"Customer#000000053","kDQujt7Ll72zSexpBht7Q1WToFWvlcdKIP",15,"25-168-852-5363",4113.64,"HOUSEHOLD","ar accounts are. even foxes are blithely. fluffily pending deposits boost"
54,"Customer#000000054","1GWwLsVwmol4lt0KCz7m1",4,"14-776-370-4745",868.90,"AUTOMOBILE","sual, silent accounts. furiously express accounts cajole special deposits. final, final accounts use furi"
55,"Customer#000000055","ti9p9XgdmFsjsQI6XQrISDUMFAusnmKS SBoCE",10,"20-180-440-8525",4572.11,"MACHINERY","ully unusual packages wake bravely bold packages. unusual requests boost deposits! blithely ironic packages ab"
56,"Customer#000000056","qh212iaGWtoVp",10,"20-895-685-6920",6530.86,"FURNITURE",". notornis wake carefully. carefully fluffy requests are furiously even accounts. slyly expre"
57,"Customer#000000057","ST32P xcb94b46",21,"31-835-306-1650",4151.93,"AUTOMOBILE","ove the carefully special packages. even, unusual deposits sleep slyly pend"
58,"Customer#000000058","LRQBToGZ8wSLO3m5HBe2Cp1i97CJIr8",13,"23-244-493-2508",6478.46,"HOUSEHOLD","ideas. ironic ideas affix furiously express, final instructions. regular excuses use quickly e"
59,"Customer#000000059","tfcob0wJRYdypIJLzBckGW",1,"11-355-584-3112",3458.60,"MACHINERY","ously final packages haggle blithely after the express deposits. furiou"
60,"Customer#000000060","mtCNJIveoJ 1E6sUhs,j",12,"22-480-575-5866",2741.87,"MACHINERY","latelets. blithely unusual courts boost furiously about the packages. blithely final instruct"
61,"Customer#000000061","SGDNwNWmqhvJKXwNlrpL4 TqAdz7XRDrKyAIQ2m",17,"27-626-559-8599",1536.24,"FURNITURE","egular packages shall have to impress along the "
62,"Customer#000000062","yBhgYoDvZX1",7,"17-361-978-7059",595.61,"MACHINERY","kly special dolphins. pinto beans are slyly. quickly regular accounts are furiously a"
63,"Customer#000000063","j398B6441 Rgii",21,"31-952-552-9584",9331.13,"AUTOMOBILE","ithely even accounts detect slyly above the fluffily ir"
64,"Customer#000000064","fPoMk3Y,GQhgXCQGhn0c8",3,"13-558-731-7204",-646.64,"BUILDING","structions after the quietly ironic theodolites cajole be"
65,"Customer#000000065","ak7rtta,tWG,jR,cTSXflW6RVQ3alna3P4Q,zF03",23,"33-733-623-5267",8795.16,"AUTOMOBILE","y final foxes serve carefully. theodolites are carefully. pending i"
66,"Customer#000000066","4PzmA4jZm7Qh22yrZq",22,"32-213-373-5094",242.77,"HOUSEHOLD","le slyly accounts. carefully silent packages benea"
67,"Customer#000000067","ALk,OdKy V5SruigGvBRMBo8S",9,"19-403-114-4356",8166.59,"MACHINERY","indle furiously final, even theodo"
68,"Customer#000000068","DSqIPPo9G3xalJSKl0TC",12,"22-918-832-2411",6853.37,"HOUSEHOLD"," pending pinto beans impress realms. final dependencies "
69,"Customer#000000069","gyuZTEcR4vKyNPMSa15ueKbRS6Tu4RUxw8j,B mv",9,"19-225-978-5670",1709.28,"HOUSEHOLD","thely final ideas around the quickly final dependencies affix carefully quickly final theodolites. final accounts c"
70,"Customer#000000070","FlCviyJDjHCYkHoJ22QwH4rG6wcHiQ8oa",22,"32-828-107-2832",4867.52,"FURNITURE","fter the special asymptotes. ideas after the unusual frets cajole quickly regular pinto be"
71,"Customer#000000071","8FkQFLN34pFe50URKft43ntisSegsO3SKF0wUyZp",7,"17-710-812-5403",-611.19,"HOUSEHOLD","g courts across the regular, final pinto beans are blithely pending ac"
72,"Customer#000000072","CxyHFFzGum1sz0jBMiqR5AxTNKKjVp6ovnvkjOL",2,"12-759-144-9689",-362.86,"FURNITURE","ithely final foxes sleep always quickly bold accounts. final wat"
73,"Customer#000000073","TiJiuAMxW6LUyyVFCKW",0,"10-473-439-3214",4288.50,"BUILDING","usual, unusual packages sleep busily along the furiou"
74,"Customer#000000074","jGhjorX17JmTAfT6gO 6sD9fF1GtFLs",4,"14-199-862-7209",2764.43,"MACHINERY","onic accounts. blithely slow packages would haggle carefully. qui"
75,"Customer#000000075","oJrUH20Ovu5fgaLagGIkAswUBF",18,"28-247-803-9025",6684.10,"AUTOMOBILE"," instructions cajole even, even deposits. finally bold deposits use above the even pains. slyl"
76,"Customer#000000076","FXzPoxHecjuQcCLk0Mr6HkbyAPW",0,"10-349-718-3044",5745.33,"FURNITURE","pecial deposits. ironic ideas boost blithely according to the closely ironic theodolites! furiously final deposits n"
77,"Customer#000000077","XyqmVhNelkoWPtjz3lRYxu",17,"27-269-357-4674",1738.87,"BUILDING","uffily silent requests. carefully ironic asymptotes among the ironic hockey players are carefully bli"
78,"Customer#000000078","kpcyQ11dABLX6YO9f,GPALyGbws3",9,"19-960-700-9191",7136.97,"FURNITURE","ests. blithely bold pinto beans h"
79,"Customer#000000079","EVJjYMyG59w4SINzn0pEfY",15,"25-147-850-4166",5121.28,"MACHINERY","es. packages haggle furiously. regular, special requests poach after the quickly express ideas. blithely pending re"
80,"Customer#000000080","h0wy3CSA2ps",0,"10-267-172-7101",7383.53,"FURNITURE","tect among the dependencies. bold accounts engage closely even pinto beans. ca"
81,"Customer#000000081","9jUFbrThIIeoUNd8 9",20,"30-165-277-3269",2023.71,"BUILDING","r packages. fluffily ironic requests cajole fluffily. ironically regular theodolit"
82,"Customer#000000082","tJkXm2PQBWPRRYkIXPg0YdM03E",18,"28-159-442-5305",9468.34,"AUTOMOBILE","s wake. bravely regular accounts are furiously. regula"
83,"Customer#000000083","kDJ7dqVuBD9lY,hqjW2O UBz5EGoX9oL",22,"32-817-154-4122",6463.51,"BUILDING","ccording to the quickly bold warhorses. final, regular foxes integrate carefully. bold packages nag blithely ev"
84,"Customer#000000084","GB3sUmv RRXV DPzeOSbGxMIF9Z4Eq9 rop",11,"21-546-818-3802",5174.71,"FURNITURE","ly blithe foxes. special asymptotes haggle blithely against the furiously regular depo"
85,"Customer#000000085"," I9M GnvICGJ29rTlKGzDMstOgH",5,"15-745-585-8219",3386.64,"FURNITURE","ronic ideas use above the slowly pendin"
86,"Customer#000000086","78Umklj3P783bfR9pzuaizxwt",0,"10-677-951-2353",3306.32,"HOUSEHOLD","quests. pending dugouts are carefully aroun"
87,"Customer#000000087","KKkJj684aFsUH1Unw",23,"33-869-884-7053",6327.54,"FURNITURE","hely ironic requests integrate according to the ironic accounts. slyly regular pla"
88,"Customer#000000088","wyGHpeRMt mxmd8fEelFiXMTHnVg3OL",16,"26-516-273-2566",8031.44,"AUTOMOBILE","s are quickly above the quickly ironic instructions; even requests about the carefully final deposi"
89,"Customer#000000089","Oy90ruRha47cUlCimutBTvJc6",14,"24-394-451-5404",1530.76,"FURNITURE","counts are slyly beyond the slyly final accounts. quickly final ideas wake. r"
90,"Customer#000000090","buosjU5uu274vLfU",16,"26-603-491-1238",7354.23,"BUILDING","sly across the furiously even "
91,"Customer#000000091","9Sce2m BjvDdjQkqMx8UnrUsJkk1IBAvZPTsA",8,"18-239-400-3677",4643.14,"AUTOMOBILE","onic accounts. fluffily silent pinto beans boost blithely according to the fluffily exp"
92,"Customer#000000092","DPbrb7fGYfkrfAdm0gRJPPdADgqGh5 FVuA9 20",2,"12-446-416-8471",1182.91,"MACHINERY",". pinto beans hang slyly final deposits. ac"
93,"Customer#000000093","nj3p ZakNJ",7,"17-359-388-5266",2182.52,"MACHINERY","press deposits. carefully regular platelets r"
94,"Customer#000000094","jL5dieRgyG9OhRN7HgXbLVK2ZRlMQ3NvvL",9,"19-953-499-8833",5500.11,"HOUSEHOLD","latelets across the bold, final requests sleep according to the fluffily bold accounts. unusual deposits amon"
95,"Customer#000000095","n6,uwF4wcE76DVh1YsSVoatkTbohR3BT",15,"25-923-255-2929",5327.38,"MACHINERY","ithely. ruthlessly final requests wake slyly alongside of the furiously silent pinto beans. even the"
96,"Customer#000000096","x4fc F3J99",8,"18-422-845-1202",6323.92,"AUTOMOBILE","press requests believe furiously. carefully final instructions snooze carefully. "
97,"Customer#000000097","dqBtMIPJhk1,ivXIr NZf",17,"27-588-919-5638",2164.48,"AUTOMOBILE","haggle slyly. bold, special ideas are blithely above the thinly bold theo"
98,"Customer#000000098","UtIJM4d8BxnqvPzwn4",12,"22-885-845-6889",-551.37,"BUILDING","ages. furiously pending accounts are quickly carefully final foxes: busily pe"
99,"Customer#000000099"," sz cJbyoj68RTfz",15,"25-515-237-9232",4088.65,"HOUSEHOLD","cajole slyly about the regular theodolites! furiously bold requests nag along the pending, regular packages. somas"
100,"Customer#000000100","MBy6qq3OEGpV4u",20,"30-749-445-4907",9889.89,"FURNITURE","was furiously fluffily quiet deposits. silent, pending requests boost against "
101,"Customer#000000101"," eEfYAdMjnGyCw8Fr2",2,"12-514-298-3699",7470.96,"MACHINERY"," sleep. pending packages detect slyly ironic pack"
102,"Customer#000000102","7qyLFi,UrLERspLhHiDGb1F4yBQq",19,"29-324-978-8538",8462.17,"BUILDING","ously regular dependencies nag among the furiously express dinos. blithely final"
103,"Customer#000000103","Tgiza4WfhTbezHUo yly4x,D6nN50SR",9,"19-216-107-2107",2757.45,"BUILDING","furiously pending notornis boost slyly around the blithely ironic ideas? final, even instructions cajole fl"
104,"Customer#000000104","SEOogsfT y09vI2z PcSTnI18U6rNTf",10,"20-966-284-8065",-588.38,"FURNITURE","rate carefully slyly special pla"
105,"Customer#000000105","XI8hMXfr8bIKTGhIRS2sYs,p",10,"20-793-553-6417",9091.82,"MACHINERY","l pains cajole even accounts. quietly final instructi"
106,"Customer#000000106","vkocmr6H6dl",1,"11-751-989-4627",3288.42,"MACHINERY","lose slyly. ironic accounts along the evenly regular theodolites wake about the special, final gifts. "
107,"Customer#000000107","2vKUW710ATl9ACXtETbZz1i9zKpns",15,"25-336-529-9919",2514.15,"AUTOMOBILE","counts cajole slyly. regular requests wake. furiously regular deposits about the blithely final fo"
108,"Customer#000000108","lbCMmxBgCZ",5,"15-908-619-7526",2259.38,"BUILDING","refully ironic deposits sleep. regular, unusual requests wake slyly"
109,"Customer#000000109","dccG2qKoesLea36FGCOCgPVU M N4BZdmYO",16,"26-992-422-8153",-716.10,"BUILDING","es. fluffily final dependencies sleep along the blithely even pinto beans. final deposits haggle furiously furiou"
110,"Customer#000000110","FtEbLLBJQ24d2yG",10,"20-893-536-2069",7462.99,"AUTOMOBILE","nto beans cajole around the even, final deposits. quickly bold packages according to the furiously regular dept"
111,"Customer#000000111","pp8Pbuc49CAFCHY8pw gSABRykpz",22,"32-582-283-7528",6505.26,"MACHINERY","ly unusual instructions detect fluffily special deposits-- theodolites nag carefully during the ironic dependencies"
112,"Customer#000000112","aOLKkYPcTaNoDLHBh7Z",19,"29-233-262-8382",2953.35,"FURNITURE","rmanently unusual multipliers. blithely ruthless deposits are furiously along the"
113,"Customer#000000113","NQcFV7p3iwO2VT LFQisBwLbn1e2Lg",12,"22-302-930-4756",2912.00,"BUILDING","usly regular theodolites boost furiously doggedly pending instructio"
114,"Customer#000000114","vqyrVMVqFlj6",14,"24-805-212-7646",1027.46,"FURNITURE","der the carefully express theodolites are after the packages. packages are. bli"
115,"Customer#000000115","05lyZj3mdE77YpKQzp,8K5gh1z,joppPlF,RjO",8,"18-971-699-1843",7508.92,"HOUSEHOLD","sits haggle above the carefully ironic theodolite"
116,"Customer#000000116","uox5ujKz1X1AtgYAFC7JuXx",16,"26-632-309-5792",8403.99,"BUILDING","as. quickly final sauternes haggle slyly carefully even packages. brave, ironic pinto beans are above the furious"
117,"Customer#000000117","ydJe0csz9qY80V2skMVdCxJI",24,"34-403-631-3505",3950.83,"FURNITURE","affix. instructions are furiously sl"
118,"Customer#000000118","d5DlxktKgRwuXuBLS",18,"28-639-943-7051",3582.37,"AUTOMOBILE","uick packages alongside of the furiously final deposits haggle above the fluffily even foxes. blithely dogged dep"
119,"Customer#000000119","fZm7cjMOxwkSnye03,D u3L4",7,"17-697-919-8406",3930.35,"FURNITURE","express ideas. blithely ironic foxes thrash. special acco"
120,"Customer#000000120","tpdDQ00rmiEAtcZ",12,"22-291-534-1571",363.75,"MACHINERY"," quickly. slyly ironic requests cajole blithely furiously final dependen"
121,"Customer#000000121","zwrDoaY2gxCkdTXFaxNc",17,"27-411-990-2959",6428.32,"BUILDING","uriously stealthy ideas. carefully final courts use carefully"
122,"Customer#000000122","uBVzFBCdNYVFqmd24XQUUv8L3rUJ7l",3,"13-702-694-4520",7865.46,"HOUSEHOLD"," the special packages hinder blithely around the permanent requests. bold depos"
123,"Customer#000000123","3zcDQRm9SeHwgVOCLW58GA",5,"15-817-151-1168",5897.83,"BUILDING","ependencies. regular, ironic requests are fluffily regu"
124,"Customer#000000124","R7Pt5r4VyoO0w,Rd",18,"28-183-750-7809",1842.49,"AUTOMOBILE","le fluffily even dependencies. quietly s"
125,"Customer#000000125","1v813O59ruviiLESzSi7ufFXGLH7U6p,Tk203",19,"29-261-996-3120",-234.12,"FURNITURE","x-ray finally after the packages? regular requests c"
126,"Customer#000000126","KQWmjFPuXGLrn2o bUnlN6cEQxyaFjKOLQAA",22,"32-755-914-7592",1001.39,"HOUSEHOLD","s about the even instructions boost carefully furiously ironic pearls. ruthless, "
127,"Customer#000000127","4tKMWo3Y 3hu3ttNZ1WTgMf5m3efLWqLOH",21,"31-101-672-2951",9280.71,"MACHINERY","ic, unusual theodolites nod silently after the final, ironic instructions: pending r"
128,"Customer#000000128","rEg6eGhLYdajOgkFgHf8",4,"14-280-874-8044",-986.96,"HOUSEHOLD","ing packages integrate across the slyly unusual dugouts. blithely silent ideas sublate carefully. blithely expr"
129,"Customer#000000129","BTET Qee,pCQoNEvFCoKqn9oFN3z3GOnSGL",7,"17-415-148-7416",9127.27,"HOUSEHOLD"," unusual deposits boost carefully furiously silent ideas. pending accounts cajole slyly across"
130,"Customer#000000130","agbuYdL1t,6DrSvl41TlZmqwEfc9FZHSIj",9,"19-190-993-9281",5073.58,"HOUSEHOLD","ix slowly. express packages along the furiously ironic requests integrate daringly deposits. fur"
131,"Customer#000000131","ItdUFrHPZlzjZ, fo03sG4topAKTV",11,"21-840-210-3572",8595.53,"HOUSEHOLD","jole special packages. furiously final dependencies about the furiously speci"
132,"Customer#000000132","beV2QQqz7fCR",4,"14-692-150-9717",162.57,"HOUSEHOLD","uickly carefully special theodolites. carefully regular requests against the blithely unusual instructions "
133,"Customer#000000133","jeox3OBiwNH2cRYHKnkxujKCHP6zSSC",17,"27-408-997-8430",2314.67,"AUTOMOBILE","t packages. express pinto beans are blithely along the unusual, even theodolites. silent packages use fu"
134,"Customer#000000134"," 6I1TTaoG7bbiogCqRcptG6BYme",11,"21-200-159-5932",4608.90,"BUILDING","yly fluffy foxes boost final ideas. b"
135,"Customer#000000135","D1g0Cp,rLNnBA6eg",19,"29-399-293-6241",8732.91,"FURNITURE"," the slyly final accounts. deposits cajole carefully. carefully sly packag"
136,"Customer#000000136","bCfzh0xVoZjaPJ0o8Z",7,"17-501-210-4726",-842.39,"FURNITURE","ackages sleep ironic, final courts. even requests above the blithely bold requests g"
137,"Customer#000000137","PN4RZCRY FrmjKhRLA2tvLZa",16,"26-777-409-5654",7838.30,"HOUSEHOLD","carefully regular theodolites use. silent dolphins cajo"
138,"Customer#000000138","WxtfqN2Tjil1AyxVU2D,TL",5,"15-394-860-4589",430.59,"MACHINERY","ts doze on the busy ideas. regular"
139,"Customer#000000139","YmFwpwxNjgg,YTXZ2Muk6l5yr",9,"19-140-352-1403",7897.78,"MACHINERY","nstructions. quickly ironic ideas are carefully. bold, "
140,"Customer#000000140","49AmbJgKOm8ii0Idfn1BWHq",4,"14-273-885-6505",9963.15,"MACHINERY","ies detect slyly ironic accounts. slyly ironic theodolites hag"
141,"Customer#000000141","Wi404ac5DIHOXFTovI6nladkzgpkcfVnO,",1,"11-936-295-6204",6706.14,"FURNITURE","packages nag furiously. carefully unusual accounts snooze according to the fluffily regular pinto beans. slyly spec"
142,"Customer#000000142","rDhVFvyfHIDoF YHJFRBQSdfulY0",9,"19-407-425-2584",2209.81,"AUTOMOBILE",". even, express theodolites upo"
143,"Customer#000000143","VSZ YZxfWVZsAGrTptTiSCRMDbLu,",16,"26-314-406-7725",2186.50,"MACHINERY","across the blithely unusual requests haggle theodo"
144,"Customer#000000144","6u21XNPJKPGyDMyRkHdoTAoOOI26,VsLMbfdDCSt",1,"11-717-379-4478",6417.31,"MACHINERY","ges. slyly regular accounts are slyly. bold, idle reque"
145,"Customer#000000145","HaHjEzYGOMPrOtXKLeJRVRx",13,"23-562-444-8454",9748.93,"HOUSEHOLD","ests? express, express instructions use. blithely fina"
146,"Customer#000000146","lNuGN4kRxTJtiZ01tVyAX1t Ont",3,"13-835-723-3223",3328.68,"FURNITURE","ffily regular dinos are slyly unusual requests. slyly specia"
147,"Customer#000000147","V5wivQ5NEO esxx1oSWkzp4bQJBkLIUn5",18,"28-803-187-4335",8071.40,"AUTOMOBILE","ress packages above the blithely regular packages sleep fluffily blithely ironic accounts. "
148,"Customer#000000148","qJ8bFn4kwiit7RzwGrwo5m",11,"21-562-498-6636",2135.60,"HOUSEHOLD","ing to the carefully ironic requests. carefully regular dependencies about the theodolites wake furious"
149,"Customer#000000149","YPt7jpBYEdgbIK6A A",19,"29-797-439-6760",8959.65,"AUTOMOBILE","al instructions haggle against the slyly bold w"
150,"Customer#000000150","tMCk8K7HovlbBFc5lGf6a JWZd,q1SOvdmmeWr",18,"28-328-564-7630",3849.48,"MACHINERY","ole blithely among the furiously pending packages. furiously bold ideas wake fluffily ironic idea"
